Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
servingdish,2.7075E-08,4.3908E-08,-0.00057887,0,0,0,0.03616,3.3763E-05,9.8378E-11,2.3456E-11,3.3763E-05,-2.3048E-11,6.728E-05,0,0,0,0,0,0,package://biscuits_dish/meshes/servingdish.STL,1,0.95686,0.85098,1,0,0,0,0,0,0,package://biscuits_dish/meshes/servingdish.STL,,servingdish-2,Coordinate System1 <servingdish-2>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
biscuit,0.0097945,0.0042388,0.014666,0,0,0,0.055502,9.659E-06,1.442E-07,7.6002E-08,1.8075E-05,1.9481E-06,1.068E-05,0,0,0,0,0,0,package://biscuits_dish/meshes/biscuit.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://biscuits_dish/meshes/biscuit.STL,,biscuit-1;biscuit-3,Origin_biscuit,,biscuit,fixed,-0.015968,-0.013252,0.008,1.5708,0,1.449,servingdish,0,0,0,,,,,,,,,,,,
