Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chassis,-0.00262140140679688,-0.00118936718756312,0.0292330466204813,0,0,0,19.8143419039205,0.208656033310725,0.000561824836569702,1.78596745068967E-05,0.208972573303732,0.000332302945187262,0.412511137472056,0,0,0,0,0,0,package://vehicle_urdf/meshes/chassis.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://vehicle_urdf/meshes/chassis.STL,,chassis_large-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_1,-1.1969E-12,4.3588E-06,-0.048207,0,0,0,0.60859,0.00032349,-2.6504E-14,-8.2826E-15,0.00032352,-1.5265E-08,0.0004473,0,0,0,0,0,0,package://vehicle_urdf/meshes/wheel_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://vehicle_urdf/meshes/wheel_1.STL,,wheel-7,Origin_wheel_1,Axis_wheel_1,wheel_1,continuous,0.20765,-0.011726,0,-1.5708,1.5394,1.5708,chassis,0,0,1,,,,,,,,,,,,
wheel_2,-1.8839E-11,4.359E-06,-0.027132,0,0,0,0.60859,0.00032349,-4.2249E-14,-2.962E-14,0.00032352,-1.5266E-08,0.0004473,0,0,0,0,0,0,package://vehicle_urdf/meshes/wheel_2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://vehicle_urdf/meshes/wheel_2.STL,,wheel-8,Origin_wheel_2,Axis_wheel_2,wheel_2,continuous,-0.11436,-0.011726,0.19808,3.1127,-0.52287,0.057833,chassis,0,0,1,,,,,,,,,,,,
wheel_3,1.9847E-11,4.3588E-06,-0.12711,0,0,0,0.60859,0.00032349,-6.0798E-15,1.3701E-14,0.00032352,-1.5266E-08,0.0004473,0,0,0,0,0,0,package://vehicle_urdf/meshes/wheel_3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://vehicle_urdf/meshes/wheel_3.STL,,wheel-4,Origin_wheel_3,Axis_wheel_3,wheel_3,continuous,-0.064371,-0.011726,-0.11149,0.013236,-0.52345,3.1151,chassis,0,0,1,,,,,,,,,,,,
